ano,internacoes,codigo_ibge
2021,1,
2018,1,
2019,1,
2023,1,
2021,3,
2024,1,
2024,1,
2021,1,
2024,1,
2021,9,
2022,11,
2023,2,
2024,3,
2023,1,
2024,1,
2021,2,
2020,1,
2019,1,
2021,1,
2022,1,
2023,3,
2024,3,
2023,1,
2022,3,
2023,1,
2024,1,
2024,1,
2021,7,
2018,1,
2023,1,
2024,1,
2022,1,
2022,1,
2019,1,
2023,1,
2020,1,
2016,1,
2017,1,
2018,1,
2024,1,
2015,1,
2024,3,
2023,1,
2017,2,
2021,2,
2022,1,
2024,2,
2022,1,
2021,6,
2024,1,
2017,1,
2020,1,
2022,1,
2023,1,
2020,1,
2021,2,
2022,1,
2023,2,
2022,2,
2019,2,
2024,14,
2024,1,
2017,1,
2022,2,
2023,3,
2024,1,
2015,1,
2016,1,
2024,1,
2021,1,
2023,1,
2021,1,
2020,1,
2021,5,
2022,1,
2022,2,
2024,1,
2022,1,
2023,2,
2021,3,
2022,2,
2022,3,
2017,1,
2020,1,
2022,1,
2022,1,
2020,2,
2021,4,
2023,1,
2015,1,
2017,1,
2019,1,
2023,1,
2022,1,
2022,2,
2024,1,
2023,1,
2015,1,
2016,1,
2017,3,
2018,10,
2019,10,
2020,2,
2023,1,
2016,1,
2018,2,
2018,1,
2022,1,
2018,2,
2015,1,
2016,1,
2018,1,
2020,1,
2015,2,
2016,3,
2018,4,
2018,2,
2019,1,
2022,2,
2019,1,
2019,1,
2024,1,
2024,1,
2015,9,
2016,18,
2017,10,
2018,5,
2019,8,
2020,7,
2016,1,
2018,1,
2016,1,
2022,3,
2023,2,
2024,2,
2022,1,
2015,1,
2018,1,
2022,1,
2023,2,
2024,2,
2024,1,
2022,1,
2018,1,
2022,2,
2023,2,
2020,1,
2021,2,
2024,1,
2024,1,
2015,1,
2021,1,
2015,6,
2016,9,
2017,6,
2018,7,
2019,2,
2021,1,
2020,1,
2017,1,
2019,3,
2020,1,
2021,14,
2022,12,
2023,8,
2024,5,
2024,2,
2015,1,
2020,1,
2017,4,
2018,3,
2019,1,
2022,1,
2018,3,
2017,1,
2019,2,
2016,1,
2018,1,
2022,1,
2016,1,
2017,1,
2019,1,
2020,1,
2021,1,
2024,1,
2018,1,
2016,1,
2020,1,
2020,1,
2024,2,
2018,1,
2021,1,
2015,1,
2016,1,
2017,1,
2018,3,
2021,1,
2023,1,
2017,1,
2018,1,
2015,1,
2018,1,
2019,3,
2024,1,
2017,1,
2023,1,
2018,1,
2019,1,
2020,1,
2016,2,
2017,1,
2021,1,
2019,1,
2021,1,
2016,1,
2016,2,
2019,1,
2020,1,
2018,5,
2017,1,
2018,1,
2017,1,
2020,1,
2023,1,
2021,1,
2024,2,
2016,1,
2021,1,
2022,2,
2019,1,
2020,1,
2020,3,
2024,1,
2018,1,
2021,2,
2020,1,
2019,1,
2022,1,
2024,1,
2023,1,
2017,1,
2024,1,
2021,1,
2015,1,
2016,2,
2023,1,
2017,1,
2018,1,
2019,1,
2021,2,
2019,1,
2019,1,
2020,1,
2018,1,
2015,2,
2016,2,
2017,5,
2018,6,
2019,2,
2020,2,
2021,2,
2022,2,
2023,6,
2024,1,
2021,1,
2022,1,
2017,1,
2018,1,
2015,2,
2016,4,
2017,6,
2018,2,
2019,6,
2020,2,
2021,11,
2022,6,
2023,11,
2024,3,
2017,1,
2023,1,
2021,2,
2022,2,
2015,1,
2017,1,
2024,1,
2019,1,
2018,1,
2023,1,
2022,2,
2021,1,
2017,1,
2018,1,
2017,1,
2021,7,
2022,1,
2023,1,
2016,1,
2018,2,
2023,1,
2024,1,
2015,1,
2016,1,
2018,1,
2022,1,
2016,1,
2022,2,
2024,1,
2015,1,
2016,7,
2017,6,
2018,9,
2019,7,
2020,2,
2021,9,
2022,6,
2023,4,
2024,6,
2021,2,
2021,2,
2021,1,
2018,1,
2022,1,
2021,1,
2017,1,
2018,1,
2019,1,
2020,1,
2019,1,
2019,1,
2020,1,
2020,2,
2022,1,
2021,1,
2024,1,
2015,1,
2017,3,
2018,1,
2019,3,
2020,1,
2022,2,
2017,1,
2016,3,
2017,3,
2018,1,
2020,1,
2017,1,
2017,1,
2020,1,
2016,2,
2015,2,
2018,2,
2019,1,
2017,1,
2015,3,
2021,1,
2022,1,
2017,1,
2019,1,
2015,2,
2016,1,
2022,1,
2023,2,
2024,3,
2018,1,
2015,1,
2016,1,
2017,2,
2018,1,
2019,2,
2022,2,
2024,3,
2018,1,
2020,1,
2022,1,
2021,1,
2022,2,
2016,2,
2017,1,
2023,1,
2017,1,
2018,1,
2016,2,
2019,2,
2021,1,
2016,2,
2017,1,
2024,1,
2016,1,
2019,1,
2023,1,
2015,1,
2016,1,
2017,1,
2018,2,
2020,1,
2021,3,
2017,1,
2015,3,
2019,1,
2024,1,
2015,1,
2016,2,
2024,1,
2015,1,
2016,1,
2017,1,
2021,2,
2020,1,
2016,3,
2017,4,
2018,1,
2020,1,
2022,2,
2023,2,
2016,1,
2017,1,
2024,1,
2016,1,
2021,1,
2023,1,
2015,3,
2015,1,
2017,1,
2019,1,
2020,2,
2021,1,
2024,1,
2021,1,
2017,1,
2015,2,
2016,3,
2018,1,
2019,1,
2023,1,
2016,1,
2017,1,
2015,49,2600054.0
2016,47,2600054.0
2017,49,2600054.0
2018,39,2600054.0
2019,46,2600054.0
2020,33,2600054.0
2021,39,2600054.0
2022,36,2600054.0
2023,59,2600054.0
2024,64,2600054.0
2015,178,2600104.0
2016,11,2600104.0
2017,26,2600104.0
2018,30,2600104.0
2019,63,2600104.0
2020,39,2600104.0
2021,81,2600104.0
2022,104,2600104.0
2023,129,2600104.0
2024,229,2600104.0
2015,30,2600203.0
2016,10,2600203.0
2017,10,2600203.0
2018,4,2600203.0
2019,2,2600203.0
2020,5,2600203.0
2021,8,2600203.0
2022,6,2600203.0
2023,5,2600203.0
2024,6,2600203.0
2015,61,2600302.0
2016,67,2600302.0
2017,56,2600302.0
2018,38,2600302.0
2019,40,2600302.0
2020,25,2600302.0
2021,21,2600302.0
2022,31,2600302.0
2023,27,2600302.0
2024,26,2600302.0
2015,8,2600401.0
2016,10,2600401.0
2017,7,2600401.0
2018,8,2600401.0
2019,12,2600401.0
2020,10,2600401.0
2021,3,2600401.0
2022,7,2600401.0
2023,13,2600401.0
2024,19,2600401.0
2015,23,2600500.0
2016,32,2600500.0
2017,36,2600500.0
2018,32,2600500.0
2019,44,2600500.0
2020,27,2600500.0
2021,31,2600500.0
2022,23,2600500.0
2023,25,2600500.0
2024,44,2600500.0
2015,19,2600609.0
2016,23,2600609.0
2017,5,2600609.0
2018,2,2600609.0
2019,14,2600609.0
2020,2,2600609.0
2021,4,2600609.0
2022,3,2600609.0
2024,3,2600609.0
2015,12,2600708.0
2016,12,2600708.0
2017,16,2600708.0
2018,14,2600708.0
2019,20,2600708.0
2020,18,2600708.0
2021,13,2600708.0
2022,8,2600708.0
2023,16,2600708.0
2024,16,2600708.0
2015,6,2600807.0
2016,4,2600807.0
2017,7,2600807.0
2018,6,2600807.0
2019,9,2600807.0
2020,5,2600807.0
2021,5,2600807.0
2022,3,2600807.0
2023,4,2600807.0
2024,8,2600807.0
2015,10,2600906.0
2016,16,2600906.0
2017,11,2600906.0
2018,9,2600906.0
2019,19,2600906.0
2020,4,2600906.0
2021,5,2600906.0
2022,5,2600906.0
2023,5,2600906.0
2024,6,2600906.0
2015,29,2601003.0
2016,11,2601003.0
2017,7,2601003.0
2018,8,2601003.0
2019,3,2601003.0
2020,3,2601003.0
2021,4,2601003.0
2022,4,2601003.0
2023,1,2601003.0
2024,8,2601003.0
2015,5,2601052.0
2016,6,2601052.0
2017,5,2601052.0
2018,3,2601052.0
2019,12,2601052.0
2020,6,2601052.0
2021,5,2601052.0
2023,4,2601052.0
2024,12,2601052.0
2015,534,2601102.0
2016,596,2601102.0
2017,366,2601102.0
2018,299,2601102.0
2019,212,2601102.0
2020,147,2601102.0
2021,91,2601102.0
2022,71,2601102.0
2023,108,2601102.0
2024,141,2601102.0
2015,102,2601201.0
2016,127,2601201.0
2017,92,2601201.0
2018,90,2601201.0
2019,93,2601201.0
2020,39,2601201.0
2021,67,2601201.0
2022,70,2601201.0
2023,61,2601201.0
2024,82,2601201.0
2015,6,2601300.0
2016,9,2601300.0
2017,10,2601300.0
2018,2,2601300.0
2019,8,2601300.0
2020,6,2601300.0
2021,5,2601300.0
2022,7,2601300.0
2023,4,2601300.0
2024,7,2601300.0
2015,14,2601409.0
2016,13,2601409.0
2017,12,2601409.0
2018,8,2601409.0
2019,26,2601409.0
2020,9,2601409.0
2021,10,2601409.0
2022,10,2601409.0
2023,8,2601409.0
2024,31,2601409.0
2015,6,2601508.0
2016,3,2601508.0
2018,1,2601508.0
2020,4,2601508.0
2021,2,2601508.0
2022,2,2601508.0
2023,2,2601508.0
2024,3,2601508.0
2015,99,2601607.0
2016,108,2601607.0
2017,94,2601607.0
2018,68,2601607.0
2019,80,2601607.0
2020,39,2601607.0
2021,12,2601607.0
2022,9,2601607.0
2023,14,2601607.0
2024,16,2601607.0
2015,18,2601706.0
2016,45,2601706.0
2017,50,2601706.0
2018,48,2601706.0
2019,30,2601706.0
2020,30,2601706.0
2021,20,2601706.0
2022,26,2601706.0
2023,22,2601706.0
2024,33,2601706.0
2015,10,2601805.0
2016,9,2601805.0
2017,10,2601805.0
2018,16,2601805.0
2019,21,2601805.0
2020,9,2601805.0
2021,8,2601805.0
2022,4,2601805.0
2023,12,2601805.0
2024,9,2601805.0
2015,10,2601904.0
2016,15,2601904.0
2017,14,2601904.0
2018,12,2601904.0
2019,38,2601904.0
2020,11,2601904.0
2021,8,2601904.0
2022,11,2601904.0
2023,21,2601904.0
2024,15,2601904.0
2015,15,2602001.0
2016,31,2602001.0
2017,16,2602001.0
2018,16,2602001.0
2019,10,2602001.0
2020,6,2602001.0
2021,22,2602001.0
2022,12,2602001.0
2023,10,2602001.0
2024,19,2602001.0
2015,30,2602100.0
2016,32,2602100.0
2017,44,2602100.0
2018,33,2602100.0
2019,53,2602100.0
2020,36,2602100.0
2021,9,2602100.0
2022,20,2602100.0
2023,21,2602100.0
2024,21,2602100.0
2015,18,2602209.0
2016,26,2602209.0
2017,18,2602209.0
2018,12,2602209.0
2019,11,2602209.0
2020,16,2602209.0
2021,14,2602209.0
2022,5,2602209.0
2023,4,2602209.0
2024,16,2602209.0
2015,13,2602308.0
2016,11,2602308.0
2017,15,2602308.0
2018,13,2602308.0
2019,9,2602308.0
2020,7,2602308.0
2021,8,2602308.0
2022,9,2602308.0
2023,8,2602308.0
2024,5,2602308.0
2015,6,2602407.0
2016,15,2602407.0
2017,7,2602407.0
2018,6,2602407.0
2019,10,2602407.0
2020,8,2602407.0
2021,4,2602407.0
2022,9,2602407.0
2023,4,2602407.0
2024,8,2602407.0
2015,10,2602506.0
2018,1,2602506.0
2019,1,2602506.0
2020,2,2602506.0
2021,4,2602506.0
2022,1,2602506.0
2023,4,2602506.0
2024,5,2602506.0
2015,35,2602605.0
2016,10,2602605.0
2017,21,2602605.0
2018,10,2602605.0
2019,6,2602605.0
2020,7,2602605.0
2021,13,2602605.0
2022,20,2602605.0
2023,8,2602605.0
2024,18,2602605.0
2015,4,2602704.0
2016,2,2602704.0
2017,2,2602704.0
2018,1,2602704.0
2019,2,2602704.0
2020,1,2602704.0
2021,3,2602704.0
2022,6,2602704.0
2023,8,2602704.0
2024,10,2602704.0
2015,265,2602803.0
2016,342,2602803.0
2017,399,2602803.0
2018,373,2602803.0
2019,361,2602803.0
2020,225,2602803.0
2021,149,2602803.0
2022,121,2602803.0
2023,116,2602803.0
2024,106,2602803.0
2015,82,2602902.0
2016,102,2602902.0
2017,100,2602902.0
2018,86,2602902.0
2019,95,2602902.0
2020,78,2602902.0
2021,92,2602902.0
2022,108,2602902.0
2023,108,2602902.0
2024,151,2602902.0
2015,39,2603009.0
2016,36,2603009.0
2017,101,2603009.0
2018,35,2603009.0
2019,52,2603009.0
2020,17,2603009.0
2021,23,2603009.0
2022,11,2603009.0
2023,18,2603009.0
2024,39,2603009.0
2015,13,2603108.0
2016,13,2603108.0
2017,28,2603108.0
2018,7,2603108.0
2019,4,2603108.0
2020,7,2603108.0
2021,7,2603108.0
2022,20,2603108.0
2023,10,2603108.0
2024,13,2603108.0
2015,31,2603207.0
2016,25,2603207.0
2017,54,2603207.0
2018,24,2603207.0
2019,24,2603207.0
2020,24,2603207.0
2021,20,2603207.0
2022,14,2603207.0
2023,27,2603207.0
2024,21,2603207.0
2015,12,2603306.0
2016,4,2603306.0
2017,4,2603306.0
2018,3,2603306.0
2019,5,2603306.0
2020,4,2603306.0
2022,4,2603306.0
2023,2,2603306.0
2024,4,2603306.0
2015,39,2603405.0
2016,28,2603405.0
2017,13,2603405.0
2018,15,2603405.0
2019,16,2603405.0
2020,5,2603405.0
2021,12,2603405.0
2022,9,2603405.0
2023,6,2603405.0
2024,11,2603405.0
2015,46,2603454.0
2016,72,2603454.0
2017,62,2603454.0
2018,63,2603454.0
2019,117,2603454.0
2020,66,2603454.0
2021,71,2603454.0
2022,65,2603454.0
2023,123,2603454.0
2024,171,2603454.0
2015,5,2603504.0
2016,6,2603504.0
2017,12,2603504.0
2018,5,2603504.0
2019,7,2603504.0
2020,8,2603504.0
2021,3,2603504.0
2022,9,2603504.0
2023,3,2603504.0
2024,10,2603504.0
2015,5,2603603.0
2016,6,2603603.0
2017,10,2603603.0
2018,8,2603603.0
2019,3,2603603.0
2020,3,2603603.0
2021,2,2603603.0
2022,4,2603603.0
2023,4,2603603.0
2024,2,2603603.0
2015,19,2603702.0
2016,17,2603702.0
2017,35,2603702.0
2018,21,2603702.0
2019,11,2603702.0
2020,3,2603702.0
2021,5,2603702.0
2022,6,2603702.0
2023,8,2603702.0
2024,23,2603702.0
2015,30,2603801.0
2016,32,2603801.0
2017,10,2603801.0
2018,10,2603801.0
2019,26,2603801.0
2020,11,2603801.0
2021,7,2603801.0
2022,12,2603801.0
2023,14,2603801.0
2024,17,2603801.0
2015,47,2603900.0
2016,5,2603900.0
2017,2,2603900.0
2018,7,2603900.0
2019,18,2603900.0
2020,6,2603900.0
2021,24,2603900.0
2022,26,2603900.0
2023,31,2603900.0
2024,36,2603900.0
2015,69,2603926.0
2016,56,2603926.0
2017,32,2603926.0
2018,20,2603926.0
2019,22,2603926.0
2020,12,2603926.0
2021,31,2603926.0
2022,10,2603926.0
2023,12,2603926.0
2024,8,2603926.0
2015,21,2604007.0
2016,21,2604007.0
2017,22,2604007.0
2018,26,2604007.0
2019,25,2604007.0
2020,25,2604007.0
2021,32,2604007.0
2022,22,2604007.0
2023,24,2604007.0
2024,52,2604007.0
2015,118,2604106.0
2016,108,2604106.0
2017,91,2604106.0
2018,70,2604106.0
2019,111,2604106.0
2020,111,2604106.0
2021,87,2604106.0
2022,91,2604106.0
2023,85,2604106.0
2024,88,2604106.0
2015,5,2604155.0
2016,8,2604155.0
2017,13,2604155.0
2018,12,2604155.0
2019,10,2604155.0
2020,4,2604155.0
2021,6,2604155.0
2022,7,2604155.0
2023,5,2604155.0
2024,5,2604155.0
2015,11,2604205.0
2016,15,2604205.0
2017,4,2604205.0
2018,13,2604205.0
2019,16,2604205.0
2020,9,2604205.0
2021,16,2604205.0
2022,18,2604205.0
2023,20,2604205.0
2024,12,2604205.0
2015,25,2604304.0
2016,34,2604304.0
2017,24,2604304.0
2018,18,2604304.0
2019,13,2604304.0
2020,18,2604304.0
2021,6,2604304.0
2022,19,2604304.0
2023,7,2604304.0
2024,12,2604304.0
2015,8,2604403.0
2016,3,2604403.0
2017,5,2604403.0
2018,6,2604403.0
2019,6,2604403.0
2020,4,2604403.0
2021,2,2604403.0
2023,5,2604403.0
2024,9,2604403.0
2015,21,2604502.0
2016,15,2604502.0
2017,13,2604502.0
2018,9,2604502.0
2019,20,2604502.0
2020,15,2604502.0
2021,12,2604502.0
2022,6,2604502.0
2023,14,2604502.0
2024,10,2604502.0
2015,21,2604601.0
2016,10,2604601.0
2017,26,2604601.0
2018,23,2604601.0
2019,11,2604601.0
2020,11,2604601.0
2021,4,2604601.0
2022,15,2604601.0
2023,17,2604601.0
2024,16,2604601.0
2015,5,2604700.0
2016,15,2604700.0
2017,9,2604700.0
2018,9,2604700.0
2019,7,2604700.0
2020,6,2604700.0
2021,18,2604700.0
2022,3,2604700.0
2023,5,2604700.0
2024,13,2604700.0
2015,10,2604809.0
2016,4,2604809.0
2017,5,2604809.0
2018,6,2604809.0
2019,7,2604809.0
2020,6,2604809.0
2021,8,2604809.0
2022,5,2604809.0
2023,14,2604809.0
2024,10,2604809.0
2015,4,2604908.0
2016,4,2604908.0
2018,3,2604908.0
2019,7,2604908.0
2021,2,2604908.0
2022,9,2604908.0
2023,4,2604908.0
2024,9,2604908.0
2015,13,2605004.0
2016,16,2605004.0
2017,2,2605004.0
2018,14,2605004.0
2019,13,2605004.0
2020,11,2605004.0
2021,8,2605004.0
2022,15,2605004.0
2023,8,2605004.0
2024,5,2605004.0
2015,51,2605103.0
2016,47,2605103.0
2017,30,2605103.0
2018,41,2605103.0
2019,34,2605103.0
2020,11,2605103.0
2021,19,2605103.0
2022,25,2605103.0
2023,35,2605103.0
2024,43,2605103.0
2015,43,2605152.0
2016,33,2605152.0
2017,9,2605152.0
2018,30,2605152.0
2019,16,2605152.0
2020,4,2605152.0
2021,15,2605152.0
2022,10,2605152.0
2023,5,2605152.0
2024,12,2605152.0
2015,35,2605202.0
2016,29,2605202.0
2017,35,2605202.0
2018,25,2605202.0
2019,18,2605202.0
2020,21,2605202.0
2021,10,2605202.0
2022,24,2605202.0
2023,18,2605202.0
2024,26,2605202.0
2015,70,2605301.0
2016,45,2605301.0
2017,33,2605301.0
2018,29,2605301.0
2019,15,2605301.0
2020,6,2605301.0
2021,12,2605301.0
2022,12,2605301.0
2023,11,2605301.0
2024,21,2605301.0
2015,13,2605400.0
2016,4,2605400.0
2017,16,2605400.0
2018,8,2605400.0
2019,9,2605400.0
2020,4,2605400.0
2021,7,2605400.0
2022,9,2605400.0
2023,5,2605400.0
2024,4,2605400.0
2015,5,2605459.0
2016,2,2605459.0
2017,1,2605459.0
2018,3,2605459.0
2020,1,2605459.0
2021,1,2605459.0
2022,1,2605459.0
2023,3,2605459.0
2024,7,2605459.0
2015,1,2605509.0
2016,4,2605509.0
2017,6,2605509.0
2018,3,2605509.0
2019,4,2605509.0
2020,2,2605509.0
2021,3,2605509.0
2022,3,2605509.0
2023,2,2605509.0
2024,7,2605509.0
2015,51,2605608.0
2016,34,2605608.0
2017,19,2605608.0
2018,21,2605608.0
2019,23,2605608.0
2020,20,2605608.0
2021,4,2605608.0
2022,11,2605608.0
2023,10,2605608.0
2024,15,2605608.0
2015,73,2605707.0
2016,22,2605707.0
2017,116,2605707.0
2018,58,2605707.0
2019,64,2605707.0
2020,27,2605707.0
2021,19,2605707.0
2022,25,2605707.0
2023,22,2605707.0
2024,21,2605707.0
2015,8,2605806.0
2016,7,2605806.0
2017,10,2605806.0
2018,6,2605806.0
2019,5,2605806.0
2020,1,2605806.0
2021,3,2605806.0
2022,3,2605806.0
2023,6,2605806.0
2024,8,2605806.0
2015,10,2605905.0
2016,7,2605905.0
2017,8,2605905.0
2018,3,2605905.0
2019,12,2605905.0
2020,4,2605905.0
2021,5,2605905.0
2022,4,2605905.0
2023,2,2605905.0
2024,10,2605905.0
2015,74,2606002.0
2016,111,2606002.0
2017,82,2606002.0
2018,93,2606002.0
2019,76,2606002.0
2020,64,2606002.0
2021,76,2606002.0
2022,64,2606002.0
2023,60,2606002.0
2024,107,2606002.0
2015,26,2606101.0
2016,29,2606101.0
2017,35,2606101.0
2018,28,2606101.0
2019,18,2606101.0
2020,9,2606101.0
2021,15,2606101.0
2022,7,2606101.0
2023,12,2606101.0
2024,8,2606101.0
2015,81,2606200.0
2016,102,2606200.0
2017,95,2606200.0
2018,70,2606200.0
2019,52,2606200.0
2020,52,2606200.0
2021,50,2606200.0
2022,85,2606200.0
2023,58,2606200.0
2024,70,2606200.0
2015,10,2606309.0
2016,3,2606309.0
2017,14,2606309.0
2018,17,2606309.0
2019,1,2606309.0
2020,1,2606309.0
2021,6,2606309.0
2022,7,2606309.0
2023,5,2606309.0
2024,2,2606309.0
2015,23,2606408.0
2016,34,2606408.0
2017,34,2606408.0
2018,19,2606408.0
2019,27,2606408.0
2020,20,2606408.0
2021,33,2606408.0
2022,21,2606408.0
2023,29,2606408.0
2024,34,2606408.0
2015,13,2606507.0
2016,11,2606507.0
2017,21,2606507.0
2018,17,2606507.0
2019,19,2606507.0
2020,9,2606507.0
2021,2,2606507.0
2022,8,2606507.0
2023,6,2606507.0
2024,9,2606507.0
2015,20,2606606.0
2016,9,2606606.0
2017,24,2606606.0
2018,46,2606606.0
2019,29,2606606.0
2020,31,2606606.0
2021,50,2606606.0
2022,10,2606606.0
2023,9,2606606.0
2024,19,2606606.0
2015,2,2606705.0
2016,2,2606705.0
2017,3,2606705.0
2018,1,2606705.0
2019,3,2606705.0
2020,2,2606705.0
2021,7,2606705.0
2022,2,2606705.0
2023,6,2606705.0
2024,2,2606705.0
