codigo_ibge,ano,deficitAgua,deficitEsgoto,deficitResiduos
2600807,2021,7.950000000000003,,
2600807,2022,0.0,0.0,
2600807,2023,28.519999999999996,,
2600906,2015,11.670000000000002,,
2600906,2023,22.799999999999997,,
2601003,2015,30.700000000000003,,
2601003,2016,29.67,,
2601003,2017,28.66,,
2601003,2018,24.879999999999995,,
2601003,2019,23.370000000000005,,
2601003,2020,22.69,,
2601003,2021,21.099999999999994,,
2601003,2022,11.47,,
2601003,2023,30.489999999999995,,
2601052,2015,71.97,,
2601052,2016,71.5,,
2601052,2017,71.81,,
2601052,2018,70.15,,
2601052,2019,70.73,,
2601052,2020,70.94,,
2601052,2021,71.16,,
2601052,2022,68.59,,
2601052,2023,75.1,,
2601102,2015,34.81,0.0,
2601102,2016,33.31,0.0,
2601102,2017,31.78,0.0,
2601102,2018,30.64,0.0,
2601102,2019,29.840000000000003,0.0,
2601102,2020,29.349999999999994,0.0,
2601102,2021,27.540000000000006,0.0,
2601102,2022,26.64,7.439999999999998,
2601102,2023,40.08,,
2601201,2015,6.659999999999997,94.63,
2601201,2016,4.1200000000000045,94.15,
2601201,2017,0.0,93.42,
2601201,2018,0.0,94.27,
2601201,2019,0.0,93.53,
2601201,2020,0.0,93.39,
2601201,2021,0.0,95.49,
2601201,2022,0.2000000000000028,96.19,
2601201,2023,10.730000000000004,,
2601300,2015,1.3499999999999943,,
2601300,2016,1.3599999999999994,,
2601300,2017,1.3400000000000034,,
2601300,2018,0.6099999999999994,,
2601300,2019,1.230000000000004,,
2601300,2020,1.7600000000000051,,
2601300,2021,1.5999999999999943,90.52,
2601300,2022,0.0,92.94,
2601300,2023,11.530000000000001,,
2601409,2015,16.58,71.37,
2601409,2016,12.040000000000006,68.84,
2601409,2017,10.129999999999995,68.83,
2601409,2018,8.370000000000005,68.3,
2601409,2019,7.170000000000002,67.97999999999999,
2601409,2020,7.090000000000003,68.55,
2601409,2021,7.310000000000002,68.99,
2601409,2022,0.6700000000000017,72.3,
2601409,2023,24.819999999999993,,
2601508,2015,28.94,,
2601508,2016,25.840000000000003,,
2601508,2017,25.77,,
2601508,2018,26.81,,
2601508,2019,26.90000000000001,,
2601508,2020,26.47,,
2601508,2021,26.03,,
2601508,2022,14.370000000000005,,
2601508,2023,28.39,,
2601607,2015,26.599999999999994,,
2601607,2016,25.319999999999997,,
2601607,2017,24.11,,
2601607,2018,22.980000000000004,,
2601607,2019,21.55,,
2601607,2020,19.590000000000003,63.17,
2601607,2021,19.040000000000006,54.55,
2601607,2022,5.799999999999997,68.72,
2601607,2023,33.68000000000001,,
2601706,2015,0.0,16.92,
2601706,2016,0.0,,
2601706,2017,0.0,,
2601706,2018,0.0,,
2601706,2019,0.0,,
2601706,2020,0.0,76.15,
2601706,2021,0.0,,
2601706,2022,0.0,69.78999999999999,
2601706,2023,9.540000000000006,,
2601805,2015,54.61,34.75,
2601805,2016,53.17,,
2601805,2017,52.2,,
