ano,codigo_ibge,municipio,populacao,mesorregiao_id,mesorregiao,pop_interpolada
2021,2608602,Lagoa do Ouro,13300,2603,Agreste Pernambucano,False
2022,2608602,Lagoa do Ouro,12988,2603,Agreste Pernambucano,True
2023,2608602,Lagoa do Ouro,12676,2603,Agreste Pernambucano,True
2024,2608602,Lagoa do Ouro,12364,2603,Agreste Pernambucano,False
2015,2608701,Lagoa dos Gatos,16161,2603,Agreste Pernambucano,False
2016,2608701,Lagoa dos Gatos,16190,2603,Agreste Pernambucano,False
2017,2608701,Lagoa dos Gatos,16218,2603,Agreste Pernambucano,False
2018,2608701,Lagoa dos Gatos,16262,2603,Agreste Pernambucano,False
2019,2608701,Lagoa dos Gatos,16290,2603,Agreste Pernambucano,False
2020,2608701,Lagoa dos Gatos,16318,2603,Agreste Pernambucano,False
2021,2608701,Lagoa dos Gatos,16345,2603,Agreste Pernambucano,False
2022,2608701,Lagoa dos Gatos,15692,2603,Agreste Pernambucano,True
2023,2608701,Lagoa dos Gatos,15039,2603,Agreste Pernambucano,True
2024,2608701,Lagoa dos Gatos,14386,2603,Agreste Pernambucano,False
2015,2608800,Lajedo,39240,2603,Agreste Pernambucano,False
2016,2608800,Lajedo,39570,2603,Agreste Pernambucano,False
2017,2608800,Lajedo,39888,2603,Agreste Pernambucano,False
2018,2608800,Lajedo,39982,2603,Agreste Pernambucano,False
2019,2608800,Lajedo,40288,2603,Agreste Pernambucano,False
2020,2608800,Lajedo,40589,2603,Agreste Pernambucano,False
2021,2608800,Lajedo,40883,2603,Agreste Pernambucano,False
2022,2608800,Lajedo,41184,2603,Agreste Pernambucano,True
2023,2608800,Lajedo,41485,2603,Agreste Pernambucano,True
2024,2608800,Lajedo,41786,2603,Agreste Pernambucano,False
2015,2608909,Limoeiro,56269,2603,Agreste Pernambucano,False
2016,2608909,Limoeiro,56203,2603,Agreste Pernambucano,False
2017,2608909,Limoeiro,56140,2603,Agreste Pernambucano,False
2018,2608909,Limoeiro,56302,2603,Agreste Pernambucano,False
2019,2608909,Limoeiro,56250,2603,Agreste Pernambucano,False
2020,2608909,Limoeiro,56198,2603,Agreste Pernambucano,False
2021,2608909,Limoeiro,56149,2603,Agreste Pernambucano,False
2022,2608909,Limoeiro,57141,2603,Agreste Pernambucano,True
2023,2608909,Limoeiro,58133,2603,Agreste Pernambucano,True
2024,2608909,Limoeiro,59125,2603,Agreste Pernambucano,False
2015,2609006,Macaparana,25011,2604,Mata Pernambucana,False
2016,2609006,Macaparana,25114,2604,Mata Pernambucana,False
2017,2609006,Macaparana,25214,2604,Mata Pernambucana,False
2018,2609006,Macaparana,25278,2604,Mata Pernambucana,False
2019,2609006,Macaparana,25376,2604,Mata Pernambucana,False
2020,2609006,Macaparana,25472,2604,Mata Pernambucana,False
2021,2609006,Macaparana,25565,2604,Mata Pernambucana,False
2022,2609006,Macaparana,25251,2604,Mata Pernambucana,True
2023,2609006,Macaparana,24938,2604,Mata Pernambucana,True
2024,2609006,Macaparana,24624,2604,Mata Pernambucana,False
2015,2609105,Machados,15313,2603,Agreste Pernambucano,False
2016,2609105,Machados,15571,2603,Agreste Pernambucano,False
2017,2609105,Machados,15820,2603,Agreste Pernambucano,False
2018,2609105,Machados,15851,2603,Agreste Pernambucano,False
2019,2609105,Machados,16088,2603,Agreste Pernambucano,False
2020,2609105,Machados,16321,2603,Agreste Pernambucano,False
2021,2609105,Machados,16549,2603,Agreste Pernambucano,False
2022,2609105,Machados,14856,2603,Agreste Pernambucano,True
2023,2609105,Machados,13164,2603,Agreste Pernambucano,True
2024,2609105,Machados,11471,2603,Agreste Pernambucano,False
2015,2609154,Manari,20302,2601,Sertão Pernambucano,False
2016,2609154,Manari,20681,2601,Sertão Pernambucano,False
2017,2609154,Manari,21047,2601,Sertão Pernambucano,False
2018,2609154,Manari,21085,2601,Sertão Pernambucano,False
2019,2609154,Manari,21434,2601,Sertão Pernambucano,False
2020,2609154,Manari,21776,2601,Sertão Pernambucano,False
2021,2609154,Manari,22110,2601,Sertão Pernambucano,False
2022,2609154,Manari,23664,2601,Sertão Pernambucano,True
2023,2609154,Manari,25219,2601,Sertão Pernambucano,True
2024,2609154,Manari,26773,2601,Sertão Pernambucano,False
2015,2609204,Maraial,11711,2604,Mata Pernambucana,False
2016,2609204,Maraial,11570,2604,Mata Pernambucana,False
2017,2609204,Maraial,11433,2604,Mata Pernambucana,False
2018,2609204,Maraial,11473,2604,Mata Pernambucana,False
2019,2609204,Maraial,11345,2604,Mata Pernambucana,False
2020,2609204,Maraial,11220,2604,Mata Pernambucana,False
2021,2609204,Maraial,11098,2604,Mata Pernambucana,False
2022,2609204,Maraial,10543,2604,Mata Pernambucana,True
2023,2609204,Maraial,9987,2604,Mata Pernambucana,True
2024,2609204,Maraial,9432,2604,Mata Pernambucana,False
2015,2609303,Mirandiba,15098,2601,Sertão Pernambucano,False
2016,2609303,Mirandiba,15185,2601,Sertão Pernambucano,False
2017,2609303,Mirandiba,15270,2601,Sertão Pernambucano,False
2018,2609303,Mirandiba,15308,2601,Sertão Pernambucano,False
2019,2609303,Mirandiba,15390,2601,Sertão Pernambucano,False
2020,2609303,Mirandiba,15470,2601,Sertão Pernambucano,False
2021,2609303,Mirandiba,15548,2601,Sertão Pernambucano,False
2022,2609303,Mirandiba,15232,2601,Sertão Pernambucano,True
2023,2609303,Mirandiba,14915,2601,Sertão Pernambucano,True
2024,2609303,Mirandiba,14599,2601,Sertão Pernambucano,False
2015,2614303,Moreilândia,11242,2601,Sertão Pernambucano,False
2016,2614303,Moreilândia,11240,2601,Sertão Pernambucano,False
2017,2614303,Moreilândia,11238,2601,Sertão Pernambucano,False
2018,2614303,Moreilândia,11270,2601,Sertão Pernambucano,False
2019,2614303,Moreilândia,11270,2601,Sertão Pernambucano,False
2020,2614303,Moreilândia,11270,2601,Sertão Pernambucano,False
2021,2614303,Moreilândia,11269,2601,Sertão Pernambucano,False
2022,2614303,Moreilândia,11129,2601,Sertão Pernambucano,True
2023,2614303,Moreilândia,10989,2601,Sertão Pernambucano,True
2024,2614303,Moreilândia,10849,2601,Sertão Pernambucano,False
2015,2609402,Moreno,61016,2605,Metropolitana de Recife,False
2016,2609402,Moreno,61577,2605,Metropolitana de Recife,False
2017,2609402,Moreno,62119,2605,Metropolitana de Recife,False
2018,2609402,Moreno,62263,2605,Metropolitana de Recife,False
2019,2609402,Moreno,62784,2605,Metropolitana de Recife,False
2020,2609402,Moreno,63294,2605,Metropolitana de Recife,False
2021,2609402,Moreno,63792,2605,Metropolitana de Recife,False
2022,2609402,Moreno,61744,2605,Metropolitana de Recife,True
2023,2609402,Moreno,59695,2605,Metropolitana de Recife,True
2024,2609402,Moreno,57647,2605,Metropolitana de Recife,False
2015,2609501,Nazaré da Mata,32064,2604,Mata Pernambucana,False
2016,2609501,Nazaré da Mata,32174,2604,Mata Pernambucana,False
2017,2609501,Nazaré da Mata,32280,2604,Mata Pernambucana,False
2018,2609501,Nazaré da Mata,32366,2604,Mata Pernambucana,False
2019,2609501,Nazaré da Mata,32471,2604,Mata Pernambucana,False
2020,2609501,Nazaré da Mata,32573,2604,Mata Pernambucana,False
2021,2609501,Nazaré da Mata,32673,2604,Mata Pernambucana,False
2022,2609501,Nazaré da Mata,32500,2604,Mata Pernambucana,True
2023,2609501,Nazaré da Mata,32326,2604,Mata Pernambucana,True
2024,2609501,Nazaré da Mata,32153,2604,Mata Pernambucana,False
2015,2609600,Olinda,389494,2605,Metropolitana de Recife,False
2016,2609600,Olinda,390144,2605,Metropolitana de Recife,False
2017,2609600,Olinda,390771,2605,Metropolitana de Recife,False
2018,2609600,Olinda,391835,2605,Metropolitana de Recife,False
2019,2609600,Olinda,392482,2605,Metropolitana de Recife,False
2020,2609600,Olinda,393115,2605,Metropolitana de Recife,False
2021,2609600,Olinda,393734,2605,Metropolitana de Recife,False
2022,2609600,Olinda,384290,2605,Metropolitana de Recife,True
2023,2609600,Olinda,374846,2605,Metropolitana de Recife,True
2024,2609600,Olinda,365402,2605,Metropolitana de Recife,False
2015,2609709,Orobó,23663,2603,Agreste Pernambucano,False
2016,2609709,Orobó,23717,2603,Agreste Pernambucano,False
2017,2609709,Orobó,23768,2603,Agreste Pernambucano,False
2018,2609709,Orobó,23833,2603,Agreste Pernambucano,False
2019,2609709,Orobó,23884,2603,Agreste Pernambucano,False
2020,2609709,Orobó,23935,2603,Agreste Pernambucano,False
2021,2609709,Orobó,23985,2603,Agreste Pernambucano,False
2022,2609709,Orobó,23469,2603,Agreste Pernambucano,True
2023,2609709,Orobó,22954,2603,Agreste Pernambucano,True
2024,2609709,Orobó,22438,2603,Agreste Pernambucano,False
2015,2609808,Orocó,14445,2602,São Francisco Pernambucano,False
2016,2609808,Orocó,14623,2602,São Francisco Pernambucano,False
2017,2609808,Orocó,14794,2602,São Francisco Pernambucano,False
2018,2609808,Orocó,14827,2602,São Francisco Pernambucano,False
2019,2609808,Orocó,14991,2602,São Francisco Pernambucano,False
2020,2609808,Orocó,15152,2602,São Francisco Pernambucano,False
2021,2609808,Orocó,15309,2602,São Francisco Pernambucano,False
2022,2609808,Orocó,14906,2602,São Francisco Pernambucano,True
2023,2609808,Orocó,14503,2602,São Francisco Pernambucano,True
2024,2609808,Orocó,14100,2602,São Francisco Pernambucano,False
2015,2609907,Ouricuri,67676,2601,Sertão Pernambucano,False
2016,2609907,Ouricuri,68236,2601,Sertão Pernambucano,False
2017,2609907,Ouricuri,68776,2601,Sertão Pernambucano,False
2018,2609907,Ouricuri,68939,2601,Sertão Pernambucano,False
2019,2609907,Ouricuri,69459,2601,Sertão Pernambucano,False
2020,2609907,Ouricuri,69969,2601,Sertão Pernambucano,False
2021,2609907,Ouricuri,70466,2601,Sertão Pernambucano,False
2022,2609907,Ouricuri,69754,2601,Sertão Pernambucano,True
2023,2609907,Ouricuri,69041,2601,Sertão Pernambucano,True
2024,2609907,Ouricuri,68329,2601,Sertão Pernambucano,False
2015,2610004,Palmares,62300,2604,Mata Pernambucana,False
2016,2610004,Palmares,62571,2604,Mata Pernambucana,False
2017,2610004,Palmares,62832,2604,Mata Pernambucana,False
2018,2610004,Palmares,62994,2604,Mata Pernambucana,False
2019,2610004,Palmares,63250,2604,Mata Pernambucana,False
2020,2610004,Palmares,63500,2604,Mata Pernambucana,False
2021,2610004,Palmares,63745,2604,Mata Pernambucana,False
2022,2610004,Palmares,61368,2604,Mata Pernambucana,True
2023,2610004,Palmares,58992,2604,Mata Pernambucana,True
2024,2610004,Palmares,56615,2604,Mata Pernambucana,False
2015,2610103,Palmeirina,7969,2603,Agreste Pernambucano,False
